Code,Description,Work Type,Labor Hours,FRT
00000010,Remote – Education,Over The Air,0.0,0.0
00000900,TEST CODE CYBERTRUCK ONLY,Test/Adjust,0.0,0.0
00004107,Alert Diagnosis - Repair,General diagnosis conclusion,0.06,0.06
00004108,Alert Diagnosis (Repair) - Create New Service Activity for Repair,Test/Adjust,0.06,0.06
00005914,Service Collision Estimate,Inspection,0.0,0.0
00006744,Engineering Vehicle in Service (Support),Maintenance,0.0,0.0
00007192,Outside Influence or Vehicle Modified - Additional Work Required,Modify,0.0,0.0
00008598,Tesla Body Repair - Menu Pricing,Test/Adjust,1.0,1.0
00009186,Tesla Insurance Rental,Test/Adjust,0.0,0.0
00020003,Software Update,Over The Air,0.06,0.06
00020007,Firmware Update - Garage,Update,0.05,0.05
00020008,Software Reinstall - Toolbox,Restore,0.06,0.06
00020010,Remote – Known Characteristic of Current Firmware,Over The Air,0.25,0.25
00020018,Software Reinstall - Touchscreen,Restore,0.05,0.05
00020020,Remote – Over the Air Update,Over The Air,0.25,0.25
00020104,Additional Work Required - Firmware Update/Reinstall Troubleshooting,General Diagnosis,0.0,0.0
00022008,User Data (Factory Reset),Restore,0.05,0.05
00023003,Clear Filesystem Caches,Module Reset/Reflashed,0.05,0.05
00030100,PDI (Without Test Drive),Inspection,0.0,0.0
00030101,Vehicle Receiving Inspection,Inspection,0.12,0.12
00030300,Perform North Carolina State Inspection,Inspection,0.2,0.2
00030400,Courtesy Inspection,Inspection,0.0,0.0
00030410,Vehicle Health Check,Inspection,1.62,1.62
00030700,Perform General Inspection,Inspection,0.78,0.78
00030701,Perform General Inspection (No Issue Found),Inspection,0.5,0.5
00030900,Perform Hawaii State Inspection,Inspection,0.75,0.75
00031000,Perform New York State Inspection,Inspection,0.4,0.4
00031100,Perform Missouri State Inspection,Inspection,0.4,0.4
00031300,Vehicle Transfer Inspection,Inspection,0.1,0.1
00031400,Out Of Province Inspection - Alberta (Inspection),Inspection,1.2,1.2
00031500,Perform Nova Scotia Provincial Motor Vehicle Inspection,Inspection,0.5,0.5
00031510,Perform Nova Scotia Provincial Motor Vehicle Inspection (Replacement Sticker),Inspection,0.1,0.1
00031520,Perform Ontario Provincial Motor Vehicle Inspection,Inspection,1.0,1.0
00032000,Used Vehicle Inspection,Inspection,0.72,0.72
00032100,Used Vehicle Final Quality Check,Inspection,0.3,0.3
