Code,Description,Work Type,Labor Hours,FRT
00000010,Remote – Education,Over The Air,0.0,0.0
00002600,Perform Visual Inspection for Vehicle Chassis Damage (China),Inspection,0.15,0.15
00002700,Underbody Damage Inspection (By Machine),Inspection,0.0,0.0
00003280,Vehicle Accessories (PDI retrofit),Test/Adjust,0.0,0.0
00003294,New Zealand-Inspect and Provide Certification of Loading (COL) ,Fee,0.25,0.25
00003815,CEV subsidy support (Japan),Sublet,0.0,0.0
00004107,Alert Diagnosis - Repair,General diagnosis conclusion,0.06,0.06
00004108,Alert Diagnosis (Repair) - Create New Service Activity for Repair,Test/Adjust,0.06,0.06
00004440, New Zealand - Change of Vehicle Use,Fee,0.17,0.17
00005220,Re-examination of Vehicle for ACT Roadworthiness Within 1 Calendar Month (AU),Inspection,0.5,0.5
00005759,Pre-Warranty Expire Inspection (China),Inspection,0.6,0.6
00005760,Pre-warranty inspection for Japan,Inspection,0.25,0.25
00005914,Service Collision Estimate,Inspection,0.0,0.0
00006094,"Pre-Delivery CH Adapter, Front License Plate Bracket",Retrofit,0.0,0.0
00006744,Engineering Vehicle in Service (Support),Maintenance,0.0,0.0
00007192,Outside Influence or Vehicle Modified - Additional Work Required,Modify,0.0,0.0
00007735,Perform Inspection for ACT Roadworthiness for Motor Vehicles Not Exceeding 4.5 Tonnes GVM (AU),Inspection,0.5,0.5
00008534,New Zealand-Inspect and Provide Certificate of Fitness (COF) ,Fee,0.75,0.75
00008598,Tesla Body Repair - Menu Pricing,Test/Adjust,1.0,1.0
00009055,Mobile Visit Fee (Japan),Fee,0.0,0.0
00009186,Tesla Insurance Rental,Test/Adjust,0.0,0.0
00014105,1 Year/12500 Mile/20000 km Service (Pre-paid Plan Only) (Add Necessary Parts and Labor Separately),Maintenance,0.15,0.15
00014205,2 Year/25000 Mile/40000 km Service (Pre-paid Plan only),Maintenance,3.0,3.0
00014305,3 Year/37500 Mile/60000 km Service (Pre-paid Plan Only) (Add Necessary Parts and Labor Separately),Maintenance,0.15,0.15
00014405,4 Year/50000 Mile/80000 km Service (Pre-paid Plan Only),Maintenance,3.4,3.4
00014505,5 Year/62500 Mile/100000 km Service (Pre-paid Plan Only) (Add Necessary Parts and Labor Separately),Maintenance,0.15,0.15
00014705,6 Year/75000 Mile/120000 km Service (Pre-paid plan only),Maintenance,3.0,3.0
00014805,7 Year/87500 Mile/140000 km Service (Pre-paid Plan Only) (Add Necessary Parts and Labor Separately),Maintenance,0.15,0.15
00014905,8 Year/100000 Mile/160000 km Service (Pre-paid Plan Only),Maintenance,3.4,3.4
00015005,9 Year/112500 Mile/180000 km Service (Pre-paid Plan Only) (Add Necessary Parts and Labor Separately),Maintenance,0.15,0.15
00015205,10 Year/125000 Mile/200000 km Service (Pre-paid Plan Only),Maintenance,3.0,3.0
00015305,11 Year/137500 Mile/220000 km Service (Pre-paid Plan Only) (Add Necessary Parts and Labor Separately),Maintenance,0.15,0.15
00015405,12 Year/150000 Mile/240000 km Service (Pre-paid Plan Only),Maintenance,3.4,3.4
