Universal,Model,Model_ID,Code,Description,Work_Type,Labor_Hours,FRT
YES,Model S,1,00000010,Remote – Education,Over The Air,0.0,0.0
NO,Model S,1,00003280,Vehicle Accessories (PDI retrofit),Test/Adjust,0.0,0.0
YES,Model S,1,00004107,Alert Diagnosis - Repair,General diagnosis conclusion,0.06,0.06
YES,Model S,1,00004108,Alert Diagnosis (Repair) - Create New Service Activity for Repair,Test/Adjust,0.06,0.06
YES,Model S,1,00005914,Service Collision Estimate,Inspection,0.0,0.0
NO,Model S,1,00009187,Tesla Approved Collision Center Remote Diagnosis,Test/Adjust,0.0,0.0
NO,Model S,1,00014105,1 Year/12500 Mile/20000 km Service (Pre-paid Plan Only) (Add Necessary Parts and Labor Separately),Maintenance,0.15,0.15
NO,Model S,1,00014205,2 Year/25000 Mile/40000 km Service (Pre-paid Plan only),Maintenance,3.0,3.0
NO,Model S,1,00014305,3 Year/37500 Mile/60000 km Service (Pre-paid Plan Only) (Add Necessary Parts and Labor Separately),Maintenance,0.15,0.15
NO,Model S,1,00014405,4 Year/50000 Mile/80000 km Service (Pre-paid Plan Only),Maintenance,3.4,3.4
NO,Model S,1,00014505,5 Year/62500 Mile/100000 km Service (Pre-paid Plan Only) (Add Necessary Parts and Labor Separately),Maintenance,0.15,0.15
NO,Model S,1,00014705,6 Year/75000 Mile/120000 km Service (Pre-paid plan only),Maintenance,3.0,3.0
NO,Model S,1,00014805,7 Year/87500 Mile/140000 km Service (Pre-paid Plan Only) (Add Necessary Parts and Labor Separately),Maintenance,0.15,0.15
NO,Model S,1,00014905,8 Year/100000 Mile/160000 km Service (Pre-paid Plan Only),Maintenance,3.4,3.4
NO,Model S,1,00015005,9 Year/112500 Mile/180000 km Service (Pre-paid Plan Only) (Add Necessary Parts and Labor Separately),Maintenance,0.15,0.15
NO,Model S,1,00015205,10 Year/125000 Mile/200000 km Service (Pre-paid Plan Only),Maintenance,3.0,3.0
NO,Model S,1,00015305,11 Year/137500 Mile/220000 km Service (Pre-paid Plan Only) (Add Necessary Parts and Labor Separately),Maintenance,0.15,0.15
NO,Model S,1,00015405,12 Year/150000 Mile/240000 km Service (Pre-paid Plan Only),Maintenance,3.4,3.4
YES,Model S,1,00020003,Firmware Update,Over The Air,0.06,0.06
NO,Model S,1,00020006,Firmware Update - Comfort Package Retrofit,Retrofit,0.0,0.0
YES,Model S,1,00020007,Firmware Update - Garage,Update,0.05,0.05
YES,Model S,1,00020010,Remote – Known Characteristic of Current Firmware,Over The Air,0.25,0.25
YES,Model S,1,00020020,Remote – Over the Air Update,Over The Air,0.25,0.25
YES,Model S,1,00022008,User Data (Factory Reset),Restore,0.05,0.05
YES,Model S,1,00023003,Clear Filesystem Caches,Module Reset/Reflashed,0.05,0.05
YES,Model S,1,00030100,PDI (Without Test Drive),Inspection,0.0,0.0
YES,Model S,1,00030410,Vehicle Health Check,Inspection,1.5,1.5
NO,Model S,1,00030420,Four Wheel Check (on Lift),Test/Adjust,0.3,0.3
NO,Model S,1,00031600,Perform Periodisk Kontroll av Kjøretøy (PKK) – Norway,Test/Adjust,1.0,1.0
NO,Model S,1,00031700,Perform Etterkontroll Periodisk Kontroll av Kjøretøy (PKK) – Norway,Test/Adjust,0.4,0.4
YES,Model S,1,00032201,Loaner Registration Confirmation,Inspection,0.2,0.2
NO,Model S,1,00034300,TC support TAB Vehicle Configuration Change,Test/Adjust,0.2,0.2
YES,Model S,1,00040100,Perform Post-Repair Validation Test Drive,Test/Adjust,0.3,0.3
YES,Model S,1,00100004,General Diagnosis,General Diagnosis,0.5,0.5
YES,Model S,1,00100014,Diagnosis: Unable to Replicate Concern,General diagnosis conclusion,0.0,0.0
YES,Model S,1,00100024,Remote Diagnosis,Remote Diagnostics,0.3,0.3
YES,Model S,1,10000004,Adjustment: Body / Closure Components,Test/Adjust,0.4,0.4
YES,Model S,1,10010008,Tesla Body Repair - Miscellaneous Labor,Body Shop,0.0,0.0
NO,Model S,1,10010009,Storage Fees,Body Shop,1.0,1.0
YES,Model S,1,10010011,Tesla Body Repair - Structural,Body Shop,0.0,0.0
YES,Model S,1,10010012,Tesla Body Structural - Sheet Metal Quotation,Test/Adjust,0.6,0.6
YES,Model S,1,10010014,Tesla Body Structural - Sheet Metal Repair,Restore,1.0,1.0
YES,Model S,1,10010015,Tesla Body Structural - Reassemble Parts,Test/Adjust,1.0,1.0
NO,Model S,1,100111134,test ,Repair,0.5,0.5
NO,Model S,1,10012912,Trim - Lower - Fascia - Rear (Remove & Replace),Remove and Replace,1.14,1.14
NO,Model S,1,10013002,Fascia Assembly - Rear (Remove & Replace),Remove and Replace,1.38,1.38
NO,Model S,1,10013102,Bumper Assembly - Rear (Remove & Replace),Remove and Replace,1.2,1.2
NO,Model S,1,10013402,Applique - Bumper - Rear (Remove & Replace),Remove and Replace,1.08,1.08
NO,Model S,1,10013502,Diffuser Trim - Rear (Remove & Replace),Remove and Replace,1.32,1.32
NO,Model S,1,10013602,Reflex Marker - Bumper - Rear - LH (Remove & Replace),Remove and Replace,1.02,1.02
NO,Model S,1,10013702,Reflex Marker - Bumper - Rear - RH (Remove & Replace),Remove and Replace,1.02,1.02
NO,Model S,1,10015401,Spear - Fog Light - Upper - LH,Remove and Install,0.72,0.72
NO,Model S,1,10015402,Spear - Fog Light - Upper - LH,Remove and Replace,0.72,0.72
NO,Model S,1,10015501,Spear - Fog Light - Upper - RH,Remove and Install,0.54,0.54
NO,Model S,1,10015502,Spear - Fog Light - Upper - RH,Remove and Replace,0.54,0.54
NO,Model S,1,10015601,Spear - Fog Light - Lower - LH,Remove and Install,0.72,0.72
NO,Model S,1,10015602,Spear - Fog Light - Lower - LH,Remove and Replace,0.72,0.72
NO,Model S,1,10015701,Spear - Fog Light - Lower - RH,Remove and Install,0.54,0.54
NO,Model S,1,10015702,Spear - Fog Light - Lower - RH,Remove and Replace,0.54,0.54
YES,Model S,1,10100008,Tesla Body Repair - Mechanical Labor,Body Shop,0.0,0.0
NO,Model S,1,10100103802,ASSEMBLY - A / B PILLAR COMPLETE - LEFT HAND,Remove and Replace,35.1,35.1
NO,Model S,1,10100106402,ASSY - RR QUARTER OTR RIGHT,Remove and Replace,10.95,10.95
NO,Model S,1,10100107002,"A–PILLAR AND B–PILLAR COMPLETE ASSEMBLY (VEHICLES BUILT THROUGH OCTOBER 11, 2016)- RIGHT",Remove and Replace,35.1,35.1
NO,Model S,1,10100118602,Quarter Outer Complete,Remove and Replace,11.2,11.2
NO,Model S,1,10100118702,Quarter Outer Complete,Remove and Replace,11.2,11.2
NO,Model S,1,10100122702,ASSEMBLY - A / B PILLAR COMPLETE - LEFT HAND,Remove and Replace,35.1,35.1
NO,Model S,1,10100123202,ASSY - RR QUARTER OTR LEFT HAND SVC,Remove and Replace,10.95,10.95
NO,Model S,1,10100140202,"Rear Trunk Floor Extension (Vehicles Built Through November 5, 2014)",Remove and Replace,1.74,1.74
NO,Model S,1,1010021008,ASSY - B PILLAR COMP LEFT HAND SVC,,33.82,33.82
NO,Model S,1,1010021020,COMPLETE ROOF ASSEMBLY,,10.77,10.77
NO,Model S,1,10100301036,Hood | Complete | Seam Sealer,Installation,0.72,0.72
NO,Model S,1,10100302,Hood Assembly (Remove & Replace),Remove and Replace,0.42,0.42
NO,Model S,1,1010031017,PANEL - REAR WHEELHOUSE EXTENSION - RIGHT,,5.28,5.28
NO,Model S,1,1010031021,"WHEEL ARCH OUTER PANEL, RIGHT HAND",,23.53,23.53
NO,Model S,1,1010031022,"WHEEL ARCH OUTER PANEL, LEFT HAND",,9.75,9.75
NO,Model S,1,1010041002,ASY - MEMBER RAIL RR RH SVC,,2.92,2.92
NO,Model S,1,1010041003,ASY - MEMBER RAIL RR LEFT HAND SVC,,2.92,2.92
NO,Model S,1,1010041005,REAR COMPLETE BODY PANEL,,6.57,6.57
NO,Model S,1,1010041006,"ASSEMBLY, REAR WHEELHOUSE COMPLETE, RIGHT",,33.38,33.38
NO,Model S,1,1010041008,ASSY - RR WHEELHOUSE COMP LEFT HAND SVC,,33.38,33.38
NO,Model S,1,1010041011,2ND ROW RETRACTOR LEFT PANEL ASSEMBLY - SERVICE ONLY,,3.52,3.52
NO,Model S,1,10100502,Acoustic Panel - Hood (Remove & Replace),Remove and Replace,0.18,0.18
NO,Model S,1,1010051001,ASY - PNL-SHOTGUN OTR LEFT HAND SVC,,1.21,1.21
NO,Model S,1,1010051020,"PNL - SHOTGUN OTR, RH SVC",,1.21,1.21
NO,Model S,1,1010051027,"SHOTGUN UPPER, LEFT",,1.15,1.15
NO,Model S,1,1010051028,"SHOTGUN UPPER, RIGHT",,5.47,5.47
NO,Model S,1,1010051034,"ASSY - COWL TOP, SVC - LEFT HAND DRIVE",,1.77,1.77
NO,Model S,1,1010061001,ASY - PNL-SHOTGUN OTR LEFT HAND SVC,,1.21,1.21
NO,Model S,1,1010061014,"ASSY - COWL TOP, SVC - RHD",,1.76,1.76
NO,Model S,1,1010061019,"PNL - SHOTGUN OTR, RH SVC",,1.21,1.21
NO,Model S,1,1010061020,"SHOTGUN UPPER, LEFT",,1.15,1.15
NO,Model S,1,1010061021,"SHOTGUN UPPER, RIGHT",,5.47,5.47
NO,Model S,1,1010061024,"ASSY - COWL TOP, SVC - LEFT HAND DRIVE",,1.77,1.77
NO,Model S,1,10100651036,Rear Door | Complete | Seam Seal,Installation,0.54,0.54
NO,Model S,1,10100701036,Liftgate | Complete | Seam Seal,Installation,1.14,1.14
NO,Model S,1,1010076028,ASY - PNL-SHOTGUN OTR LEFT HAND SVC,,1.21,1.21
NO,Model S,1,1010076037,"ASSY - COWL TOP, SVC - RHD",,1.76,1.76
NO,Model S,1,1010076044,"PNL - SHOTGUN OTR, RH SVC",,1.21,1.21
NO,Model S,1,1010076058,"SHOTGUN UPPER, LEFT",,1.15,1.15
NO,Model S,1,1010076059,"SHOTGUN UPPER, RIGHT",,5.47,5.47
NO,Model S,1,1010076065,"ASSY - COWL TOP, SVC - LEFT HAND DRIVE",,1.77,1.77
NO,Model S,1,1010091002,ASSY - RR QUARTER OTR LEFT HAND SVC - SMALL CHARGEPORT,,8.6,8.6
NO,Model S,1,1010091007,ASSY - RR QUARTER OTR RH,,10.48,10.48
NO,Model S,1,1010091016,ASSY - RR QUARTER OTR LEFT HAND SVC,,9.38,9.38
NO,Model S,1,1010091022,ASSY - RR QTR UPR LEFT HAND,,8.6,8.6
NO,Model S,1,1010091023,ASSY - RR QTR UPR RH,,8.6,8.6
NO,Model S,1,10101017602,ASSEMBLY - COWL TOP LEFT HAND DRIVE,Remove and Replace,2.16,2.16
NO,Model S,1,10101017702,ASSEMBLY - COWL TOP RIGHT HAND DRIVE,Remove and Replace,2.16,2.16
NO,Model S,1,10101017802,ASSEMBLY - SHOTGUN OUTER - LEFT HAND,Remove and Replace,2.76,2.76
NO,Model S,1,10101018402,PANEL  - SHOTGUN OUTER - RIGHT HAND,Remove and Replace,2.76,2.76
NO,Model S,1,10101019102,"SHOTGUN UPPER, LEFT",Remove and Replace,2.1,2.1
NO,Model S,1,10101027802,Shotgun Upper Assembly (Section) Lower,Remove and Replace,3.0,3.0
NO,Model S,1,10101027902,Shotgun Upper Assembly (Section) Lower,Remove and Replace,3.0,3.0
NO,Model S,1,10101030002,Shotgun Upper Assembly,Remove and Replace,2.1,2.1
NO,Model S,1,10101803902,ASSEMBLY- 2ND ROW RETRACTOR PANEL - LEFT HAND,Remove and Replace,1.86,1.86
NO,Model S,1,10101804002,ASSEMBLY- 2ND ROW RETRACTOR PANEL - RIGHT HAND,Remove and Replace,1.86,1.86
NO,Model S,1,10101804102,ASSEMBLY- EXTENSION - REAR TRUNK FLOOR PANEL  - LEFT HAND,Remove and Replace,1.68,1.68
NO,Model S,1,10101804202,ASSEMBLY- EXTENSION - REAR TRUNK FLOOR PANEL  - RIGHT HAND,Remove and Replace,1.68,1.68
NO,Model S,1,10101804302,"ASSEMBLY, REAR WHEELEFTOUSE COMPLETE, RIGHT",Remove and Replace,16.45,16.45
NO,Model S,1,10101804502,REAR WHEELEFTOUSE COMPLETE - LEFT HAND,Remove and Replace,16.45,16.45
NO,Model S,1,10101816802,ASY - RR TRUNK FLOOR SVC,Remove and Replace,3.06,3.06
NO,Model S,1,10101817002,PANEL - SECOND ROW FLOOR,Remove and Replace,1.5,1.5
NO,Model S,1,10101817102,REAR COMPLETE BODY PANEL,Remove and Replace,7.0,7.0
NO,Model S,1,10101817502,TRUNK FLOOR PANEL EXTENSION REAR LEFT,Remove and Replace,1.74,1.74
NO,Model S,1,10101912502,"WHEEL ARCH OUTER PANEL, LEFT HAND",Remove and Replace,16.9,16.9
NO,Model S,1,10101912602,"WHEEL ARCH OUTER PANEL, RIGHT HAND",Remove and Replace,16.9,16.9
NO,Model S,1,10101913102,,Remove and Replace,13.85,13.85
NO,Model S,1,10102704602,"B-PILLAR COMPLETE, LEFT HAND",Remove and Replace,29.25,29.25
NO,Model S,1,10102704702,"B-PILLAR COMPLETE, RIGHT HAND",Remove and Replace,29.25,29.25
NO,Model S,1,10102704802,COMPLETE ROOF ASSEMBLY,Remove and Replace,2.94,2.94
NO,Model S,1,10102901402,SILL (FLANGE AREA)-RIGHT,Remove and Replace,11.25,11.25
NO,Model S,1,10102901502,SILL (OUTER SECTION)-RIGHT,Remove and Replace,24.75,24.75
NO,Model S,1,10102901602,SILL (REAR SECTION)-RIGHT,Remove and Replace,35.6,35.6
NO,Model S,1,10102901702,SILL (FLANGE AREA) - LEFT,Remove and Replace,11.25,11.25
NO,Model S,1,10102901802,SILL (OUTER SECTION)- LEFT,Remove and Replace,24.75,24.75
NO,Model S,1,10102901902,SILL (REAR SECTION)- LEFT,Remove and Replace,35.6,35.6
NO,Model S,1,10102904002,Jack Pad Mount Repair,Remove and Replace,1.86,1.86
NO,Model S,1,10104002,Roof Assembly (without Panoramic Roof) (Remove & Replace),Remove and Replace,7.6,7.6
NO,Model S,1,10106107,Door Assembly - RH (Rework),Test/Adjust,0.1,0.1
NO,Model S,1,10106202,Door Assembly - Rear - LH (Remove & Replace),Remove and Replace,1.08,1.08
NO,Model S,1,10106302,Door Assembly - Rear - RH (Remove & Replace),Remove and Replace,1.08,1.08
NO,Model S,1,10107002,Liftgate Assembly (Remove & Replace),Remove and Replace,3.36,3.36
YES,Model S,1,10108608,Tesla Body Repair - Body Labor,Body Shop,0.0,0.0
YES,Model S,1,10108808,Tesla Body Repair - Sublet,Body Shop,0.0,0.0
YES,Model S,1,10109008,Structural Body Repair,Repair,0.0,0.0
YES,Model S,1,10109108,Non-Structural Body Repair,Restore,0.0,0.0
YES,Model S,1,10182019,Customer Generated Quote - Issue (Transaction) Resolved - Bound,General diagnosis conclusion,0.0,0.0
NO,Model S,1,10200702,Sensor - HVAC - Light/Temperature/Humidity (Remove & Replace),Remove and Replace,0.66,0.66
NO,Model S,1,10203002,Glass - Rear Quarter - LH (Remove & Replace),Remove and Replace,2.16,2.16
NO,Model S,1,10203102,Glass - Rear Quarter - RH (Remove & Replace),Remove and Replace,2.1,2.1
NO,Model S,1,10204002,Liftgate Glass (Remove & Replace),Remove and Replace,1.32,1.32
NO,Model S,1,10205002,Glass - Roof - Fixed (Remove & Replace),Remove and Replace,1.02,1.02
YES,Model S,1,1027521,Assistance with Refund of Reservation,Test/Adjust,0.0,0.0
NO,Model S,1,11330502,Gas Strut - Hood - LH (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model S,1,11330602,Gas Strut - Hood - RH (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model S,1,11330702,C-Clips - Strut - Hood - LH (Remove and Replace),Remove and Replace,0.06,0.06
NO,Model S,1,11330722,C-Clips - Strut - Liftgate - LH (Remove and Replace),Remove and Replace,0.06,0.06
NO,Model S,1,11330822,C-Clips - Strut - Liftgate - RH (Remove and Replace),Remove and Replace,0.06,0.06
NO,Model S,1,11332402,Module - Door Controller - LH (Remove & Replace),Remove and Replace,0.36,0.36
NO,Model S,1,11332502,Module - Door Controller - RH (Remove & Replace),Remove and Replace,0.36,0.36
NO,Model S,1,11332902,C-Clips - Strut - Hood - RH (Remove and Replace),Remove and Replace,0.06,0.06
NO,Model S,1,11334202,Power Strut - Liftgate (Remove & Replace),Remove and Replace,0.42,0.42
NO,Model S,1,11334402,Strut - Liftgate (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model S,1,11334802,Module - Liftgate Control (Remove & Replace),Remove and Replace,0.96,0.96
NO,Model S,1,11335002,Liftgate Ball Stud - Set  (Remove & Replace),Remove and Replace,0.18,0.18
NO,Model S,1,11351502,Latch - Door - Rear - LH (Remove & Replace),Remove and Replace,0.54,0.54
NO,Model S,1,11351602,Latch - Door - Rear - RH (Remove & Replace),Remove and Replace,0.54,0.54
