Code,Description,Work Type,Labor Hours,FRT
00000010,Remote – Education,Over The Air,0.0,0.0
00002600,Perform Visual Underbody Damage Inspection (APAC),Inspection,0.15,0.15
00002700,Underbody Damage Inspection (By Machine),Inspection,0.0,0.0
00003294,New Zealand-Inspect and Provide Certification of Loading (COL) ,Fee,0.25,0.25
00003815,Cev Subsidy Support (Japan),Sublet,0.0,0.0
00004107,Alert Diagnosis - Repair,General diagnosis conclusion,0.06,0.06
00004108,Alert Diagnosis (Repair) - Create New Service Activity for Repair,Test/Adjust,0.06,0.06
00004440, New Zealand - Change of Vehicle Use,Fee,0.17,0.17
00005220,Re-examination of Vehicle for ACT Roadworthiness Within 1 Calendar Month (AU),Inspection,0.5,0.5
00005759,Pre-Warranty Expire Inspection (China),Inspection,0.6,0.6
00005760,Pre-warranty inspection for Japan,Inspection,0.25,0.25
00005914,Service Collision Estimate,Inspection,0.0,0.0
00006744,Engineering Vehicle In Service (Support),Maintenance,0.0,0.0
00007192,Outside Influence or Vehicle Modified - Additional Work Required,Modify,0.0,0.0
00007339,Bracket - Front License Plate - EMEA,Installation,0.1,0.1
00007735,Perform Inspection For Act Roadworthiness For Motor Vehicles Not Exceeding 4.5 Tonnes Gvm (Au),Inspection,0.5,0.5
00008534,New Zealand-Inspect and Provide Certificate of Fitness (COF) ,Fee,0.75,0.75
00008598,Tesla Body Repair - Menu Pricing,Test/Adjust,0.0,0.0
00009055,Mobile Visit Fee (Japan),Fee,0.0,0.0
00020003,Software Update,Over The Air,0.06,0.06
00020007,Firmware Update - Garage,Update,0.05,0.05
00020008,Software Reinstall - Toolbox,Restore,0.0,0.0
00020010,Remote – Known Characteristic Of Current Firmware,Over The Air,0.25,0.25
00020018,Software Reinstall - Touchscreen,Restore,0.05,0.05
00020020,Remote – Over The Air Update,Over The Air,0.0,0.0
00020104,Additional Work Required - Firmware Update/Reinstall Troubleshooting,General Diagnosis,0.0,0.0
00022008,User Data (Factory Reset),Restore,0.05,0.05
00023003,Clear Filesystem Caches,Module Reset/Reflashed,0.05,0.05
00027003,Salvage Vehicles Quote (China),Fee,3.0,3.0
00030007,Enabled Model Y AWD Acceleration Boost,Modify,0.0,0.0
00030100,PDI (Without Test Drive),Inspection,0.0,0.0
00030101,Vehicle Receiving Inspection,Inspection,0.12,0.12
00030300,Perform North CaroliNA State Inspection,Inspection,0.2,0.2
00030400,Courtesy Inspection,Inspection,0.0,0.0
00030410,Vehicle Health Check,Inspection,1.62,1.62
00030700,Perform General Inspection,Inspection,0.72,0.72
00030701,Perform General Inspection (No Issue Found),Inspection,0.5,0.5
00030800,Perform Belgium Safety Inspection,Test/Adjust,1.0,1.0
00030900,Perform Hawaii State Inspection,Inspection,0.75,0.75
00031000,Perform New York State Inspection,Inspection,0.4,0.4
00031100,Perform Missouri State Inspection,Inspection,0.0,0.0
00031300,Vehicle Transfer Inspection,Inspection,0.0,0.0
00031400,Out Of Province Inspection - Alberta (Inspection),Inspection,1.2,1.2
00031500,Perform Nova Scotia Provincial Motor Vehicle Inspection,Inspection,0.5,0.5
00031510,Perform Nova Scotia Provincial Motor Vehicle Inspection (Replacement Sticker),Inspection,0.1,0.1
00031520,Perform Ontario Provincial Motor Vehicle Inspection,Inspection,1.0,1.0
00031600,Perform Periodisk Kontroll av Kjøretøy (PKK) – Norway,Test/Adjust,1.0,1.0
00031700,Perform Etterkontroll Periodisk Kontroll av Kjøretøy (PKK) – Norway,Test/Adjust,0.4,0.4
00031800,Perform Netherlands MOT Inspection (Tesla),Inspection,0.5,0.5
00032000,Used Vehicle Inspection,Inspection,0.6,0.6
00032100,Used Vehicle Final Quality Check,Inspection,0.3,0.3
00032200,Pre-Loaner Vehicle Inspection,Inspection,1.0,1.0
00032201,Loaner Registration Confirmation,Inspection,0.2,0.2
00032300,Pre - delivery Inspection for Retired Marketing Vehicle (China),Inspection,0.4,0.4
00032400,Used Vehicle Inspection - EMEA,Inspection,0.0,0.0
00032600,SUBLET - Perform Germany MOT Inspection,Sublet,0.0,0.0
00032900,German UVV (Unfallverhütungsvorschfrift) Accident Prevention Regulations,Inspection,0.7,0.7
00033300,New Hampshire State Inspection,Inspection,0.6,0.6
00033400,Perform PRI Pre-Inspection,Test/Adjust,0.6,0.6
00033500,Remote System Check(Japan Shaken Inspection),Inspection,0.15,0.15
00034200,Test Drive Vehicles Inspection (China),Inspection,0.35,0.35
00034201,Perform Body Shop Final Inspection(China),Inspection,0.35,0.35
00034300,TC support TAB Vehicle Configuration Change,Test/Adjust,0.2,0.2
00035200,Used Vehicle Inspection (Japan),Inspection,2.5,2.5
00037000,Perform Final Inspection China,Inspection,0.0,0.0
00038000,Global Press Vehicle Inspection,Inspection,6.1,6.1
00038100,Extended Warranty Admin Work (China),Fee,0.3,0.3
00039000,Used Vehicle Intake Inspection (UVIS Only),Inspection,0.0,0.0
00039100,Extend Warranty Agreement Inspection (China),Inspection,0.75,0.75
00039200,Vehicle Inspection at the Customer's Request (Korea),Inspection,0.6,0.6
00039201,Detailed Vehicle Inspection at the Customer's Request （Korea)）,Inspection,1.0,1.0
00039400,Repossessions and Recoveries Inspection,Inspection,0.5,0.5
00040100,Perform Post-Repair Validation Test Drive,Test/Adjust,0.3,0.3
00040900,Virginia Safety Inspection,Inspection,0.5,0.5
00041000,Annual Service Inspection - Yearly (Japan),Inspection,1.0,1.0
00041100,NSW e-Safety Inspection (Pink Slip),Inspection,0.3,0.3
00041110,NSW e-Safety Inspection (Blue Slip),Inspection,0.7,0.7
00042000,Warrant of Fitness - New Zealand,Inspection,1.0,1.0
00042300,Pre - delivery Final Check for Unmatched Inventory Vehicle (China),Inspection,0.0,0.0
00050104,Additional Work Required - Odin Routine Troubleshooting,General Diagnosis,0.1,0.1
00051100,QLD Roadworthy Safety Inspection (RWC),Inspection,0.75,0.75
00052000,Used Vehicle Inspection for China,Test/Adjust,1.3,1.3
00100004,General Diagnosis,General Diagnosis,0.5,0.5
00100014,Diagnosis: Unable to Replicate Concern,General diagnosis conclusion,0.0,0.0
00100024,Remote Diagnosis,Remote Diagnostics,0.0,0.0
00100025,Remote Diagnosis: Customer Declined,Remote Diagnostics,0.0,0.0
00901320,Install Ceramic Coating,Retrofit,1.5,1.5
10000004,Adjustment: Body / Closure Components,Test/Adjust,0.4,0.4
10000105,Jack Mode Activation,Test/Adjust,0.0,0.0
100002091,Auto Diagnostics,Remote Diagnostics,0.0,0.0
10010006,"Customer Delayed Collecting Vehicle, Occupying Tesla Premises",Fee,0.0,0.0
10010007,Tesla Body Repair - Paint Supplies,Body Shop,0.0,0.0
10010008,Tesla Body Repair - Miscellaneous Labor,Body Shop,0.0,0.0
10010009,Storage Fees,Body Shop,0.0,0.0
10010010,Tesla Body Repair - Frame Labor,Body Shop,0.0,0.0
10010011,Tesla Body Repair - Structural,Body Shop,0.0,0.0
10010012,Tesla Body Structural--Sheet Metal Quotation,Test/Adjust,0.6,0.6
10010014,Tesla Body Structural--Sheet Metal Repair,Restore,0.0,0.0
10010015,Tesla Body Structural--Reassemble Parts,Test/Adjust,1.0,1.0
10010016,Tesla Body Repair - Aluminum Labor,Body Shop,0.0,0.0
1001010101,Front End Carrier,Remove and Install,1.0,1.0
1001010102,Front End Carrier,Remove and Replace,1.0,1.0
10010121523,Rear Quarter Panel Inner Water Ingress - LH (Rework),Test/Adjust,0.48,0.48
1001020071,Bracket - Fascia Side To Fender - RH,Remove and Install,0.18,0.18
1001020072,Bracket - Fascia Side To Fender - RH,Remove and Replace,0.18,0.18
10010201801,Lower Front Fascia (Performance),Remove and Install,1.08,1.08
10010201802,Lower Front Fascia (Performance),Remove and Replace,1.08,1.08
10010201901,Duct - Upper Front Fascia - RH (Performance),Remove and Install,0.78,0.78
10010201902,Duct - Upper Front Fascia - RH (Performance),Remove and Replace,0.78,0.78
10010202001,Duct - Upper Front Fascia - LH (Performance),Remove and Install,0.78,0.78
10010202002,Duct - Upper Front Fascia - LH (Performance),Remove and Replace,0.78,0.78
10010202101,Front Fascia (Performance),Remove and Install,1.02,1.02
10010202102,Front Fascia (Performance),Remove and Replace,1.02,1.02
10010202201,Splitter - Front Fascia (Performance),Remove and Install,0.78,0.78
10010202202,Splitter - Front Fascia (Performance),Remove and Replace,0.78,0.78
1001020301,Bracket - Fascia Side To Fender - LH,Remove and Install,0.15,0.15
1001020302,Bracket - Fascia Side To Fender - LH,Remove and Replace,0.15,0.15
1001020501,Front Fascia,Remove and Install,0.66,0.66
1001020502,Front Fascia,Remove and Replace,0.84,0.84
1001020511,Front Fascia (Model Y Standard),Remove and Install,0.42,0.42
1001020512,Front Fascia (Model Y Standard),Test/Adjust,0.84,0.84
10010300001,Front Bumper Beam (Model Y Standard) ,Remove and Install,0.66,0.66
10010300002,Front Bumper Beam (Model Y Standard) ,Remove and Replace,0.66,0.66
1001030021,Front Energy Absorber -Bumper Beam Foam,Remove and Install,0.84,0.84
1001030022,Front Energy Absorber -Bumper Beam Foam,Remove and Replace,0.84,0.84
1001030041,Crush Can - Front Subframe - LH,Remove and Install,0.9,0.9
1001030042,Crush Can - Front Subframe - LH,Remove and Replace,0.9,0.9
1001030051,Front Energy Absorber - Assembly Crush Can LH,Remove and Install,1.56,1.56
1001030052,Front Energy Absorber - Assembly Crush Can LH,Remove and Replace,1.56,1.56
1001030061,Front Energy Absorber - Assembly Crush Can RH,Remove and Install,1.56,1.56
1001030062,Front Energy Absorber - Assembly Crush Can RH,Remove and Replace,1.56,1.56
1001030101,Ankle Catcher,Remove and Replace,0.7,0.7
1001030102,Ankle Catcher,Remove and Install,0.84,0.84
1001030201,Crush Can Assembly - LH,Remove and Replace,1.3,1.3
10010302522,Crush Can Removal Refit or Replacement And Paint-Sealer Spray-CN Only,Paint Work,0.37,0.37
10010302622,Crush Can Removal Refit or Replacement And Paint-Sealer Sanding-CN Only,Paint Work,0.1,0.1
10010302722,Crush Can Removal Refit or Replacement And Paint-Painting-CN Only,Paint Work,0.39,0.39
1001030401,Front Bumper Beam,Remove and Install,0.96,0.96
1001030402,Front Bumper Beam,Remove and Replace,0.96,0.96
1001031041,Front Subframe-Crush Can Assembly-RH,Remove and Install,0.84,0.84
1001031042,Front Subframe-Crush Can Assembly-RH,Remove and Replace,0.84,0.84
1001031201,Lower Front Fascia,Remove and Install,0.9,0.9
1001031202,Lower Front Fascia,Remove and Replace,0.9,0.9
10010400001,Cover - Tow Hook - Front Fascia (Model Y Standard) ,Remove and Install,0.06,0.06
10010400002,Cover - Tow Hook - Front Fascia (Model Y Standard) ,Remove and Replace,0.06,0.06
1001040062,Rear Bumper Fascia - Rear Fascia Center Bracket,Remove and Replace,0.42,0.42
1001040101,Active Grille Shutter,Remove and Install,0.66,0.66
1001040102,Active Grille Shutter,Remove and Replace,0.72,0.72
1001040201,Ambient Air Temperature Sensor,Remove and Install,0.15,0.15
1001040202,Ambient Air Temperature Sensor,Remove and Replace,0.15,0.15
10010402801,Grille - Front Fascia (Performance),Remove and Install,0.84,0.84
10010402802,Grille - Front Fascia (Performance),Remove and Replace,0.84,0.84
1001040301,Cover - Tow Hook - Front Fascia,Remove and Install,0.06,0.06
1001040302,Cover - Tow Hook - Front Fascia,Remove and Replace,0.06,0.06
1001040401,Cover - Tow Hook - Rear Fascia,Remove and Install,0.05,0.05
1001040402,Cover - Tow Hook - Rear Fascia,Remove and Replace,0.05,0.05
1001040501,Grille - Front Fascia,Remove and Install,0.84,0.84
1001040502,Grille - Front Fascia,Remove and Replace,0.84,0.84
1001040601,Sensor - Ambient Air Temperature - Heating/Cooling Circuit,Remove and Install,0.15,0.15
1001040602,Sensor - Ambient Air Temperature - Heating/Cooling Circuit,Remove and Replace,0.15,0.15
10010500001,Bracket - Tail Lamp - RH (Model YL),Remove and Install,0.42,0.42
10010500002,Bracket - Tail Lamp - RH (Model YL),Remove and Replace,0.42,0.42
