Universal,Model,Model_ID,Code,Description,Work_Type,Labor_Hours,FRT
YES,Model Y,36,00000010,Remote – Education,Over The Air,0.0,0.0
YES,Model Y,36,00004107,Alert Diagnosis - Repair,General diagnosis conclusion,0.06,0.06
YES,Model Y,36,00004108,Alert Diagnosis (Repair) - Create New Service Activity for Repair,Test/Adjust,0.06,0.06
YES,Model Y,36,00005914,Service Collision Estimate,Inspection,0.0,0.0
YES,Model Y,36,00020003,Software Update,Over The Air,0.06,0.06
YES,Model Y,36,00020007,Firmware Update - Garage,Update,0.05,0.05
YES,Model Y,36,00020010,Remote – Known Characteristic Of Current Firmware,Over The Air,0.25,0.25
YES,Model Y,36,00020020,Remote – Over The Air Update,Over The Air,0.0,0.0
YES,Model Y,36,00022008,User Data (Factory Reset),Restore,0.05,0.05
YES,Model Y,36,00023003,Clear Filesystem Caches,Module Reset/Reflashed,0.05,0.05
YES,Model Y,36,00030100,PDI (Without Test Drive),Inspection,0.0,0.0
YES,Model Y,36,00030410,Vehicle Health Check,Inspection,1.62,1.62
NO,Model Y,36,00031600,Perform Periodisk Kontroll av Kjøretøy (PKK) – Norway,Test/Adjust,1.0,1.0
NO,Model Y,36,00031700,Perform Etterkontroll Periodisk Kontroll av Kjøretøy (PKK) – Norway,Test/Adjust,0.4,0.4
YES,Model Y,36,00032201,Loaner Registration Confirmation,Inspection,0.2,0.2
NO,Model Y,36,00034300,TC support TAB Vehicle Configuration Change,Test/Adjust,0.2,0.2
YES,Model Y,36,00040100,Perform Post-Repair Validation Test Drive,Test/Adjust,0.3,0.3
YES,Model Y,36,00100004,General Diagnosis,General Diagnosis,0.5,0.5
YES,Model Y,36,00100014,Diagnosis: Unable to Replicate Concern,General diagnosis conclusion,0.0,0.0
YES,Model Y,36,00100024,Remote Diagnosis,Remote Diagnostics,0.0,0.0
YES,Model Y,36,10000004,Adjustment: Body / Closure Components,Test/Adjust,0.4,0.4
YES,Model Y,36,10010008,Tesla Body Repair - Miscellaneous Labor,Body Shop,0.0,0.0
NO,Model Y,36,10010009,Storage Fees,Body Shop,0.0,0.0
YES,Model Y,36,10010011,Tesla Body Repair - Structural,Body Shop,0.0,0.0
YES,Model Y,36,10010012,Tesla Body Structural--Sheet Metal Quotation,Test/Adjust,0.6,0.6
YES,Model Y,36,10010014,Tesla Body Structural--Sheet Metal Repair,Restore,0.0,0.0
YES,Model Y,36,10010015,Tesla Body Structural--Reassemble Parts,Test/Adjust,1.0,1.0
NO,Model Y,36,1001030101,Ankle Catcher,Remove and Replace,0.7,0.7
NO,Model Y,36,1001030102,Ankle Catcher,Remove and Install,0.84,0.84
NO,Model Y,36,1001030201,Crush Can Assembly - LH,Remove and Replace,1.3,1.3
NO,Model Y,36,1001040101,Active Grille Shutter,Remove and Install,0.66,0.66
NO,Model Y,36,1001040102,Active Grille Shutter,Remove and Replace,0.72,0.72
NO,Model Y,36,1001040201,Ambient Air Temperature Sensor,Remove and Install,0.15,0.15
NO,Model Y,36,1001040202,Ambient Air Temperature Sensor,Remove and Replace,0.15,0.15
NO,Model Y,36,1001040401,Cover - Tow Hook - Rear Fascia,Remove and Install,0.05,0.05
NO,Model Y,36,1001040402,Cover - Tow Hook - Rear Fascia,Remove and Replace,0.05,0.05
NO,Model Y,36,1001050101,Lower Rear Fascia,Remove and Install,0.66,0.66
NO,Model Y,36,1001050102,Lower Rear Fascia,Remove and Replace,0.66,0.66
NO,Model Y,36,10010501601,Assembly - Fascia and Diffuser - Rear,Remove and Install,0.36,0.36
NO,Model Y,36,10010501701,Fascia Assembly - Rear - Partially Remove (Mobile Only),Remove and Install,0.3,0.3
NO,Model Y,36,10010501702,Rear Fascia Assy Partially remove (Mobile Only),Remove and Replace,0.0,0.0
NO,Model Y,36,10010502501,Rear Upper Fascia - LH (Performance),Remove and Install,0.48,0.48
NO,Model Y,36,10010502502,NV36 Performance Body - Bumper and Fascia - Rear Bumper Fascia - Rear Upper Fascia - LH (RR),Remove and Replace,0.48,0.48
NO,Model Y,36,10010502601,Rear Upper Fascia - RH (Performance),Remove and Install,0.48,0.48
NO,Model Y,36,10010502602,Rear Upper Fascia - RH (Performance),Remove and Replace,0.48,0.48
NO,Model Y,36,10010502701,Rear Lower Fascia (Performance),Remove and Install,0.78,0.78
NO,Model Y,36,10010502702,Rear Lower Fascia (Performance),Remove and Replace,0.78,0.78
NO,Model Y,36,10010502801,Splitter - Rear Fascia (Performance),Remove and Install,0.42,0.42
NO,Model Y,36,10010502802,Splitter - Rear Fascia (Performance),Remove and Replace,0.42,0.42
NO,Model Y,36,10010502901,Tow Hitch Cover (Performance),Remove and Install,0.06,0.06
NO,Model Y,36,10010502902,Tow Hitch Cover (Performance),Remove and Replace,0.06,0.06
NO,Model Y,36,10010503001,Lower Tow Hitch Cover (Performance),Remove and Install,0.06,0.06
NO,Model Y,36,10010503002,Lower Tow Hitch Cover (Performance),Remove and Replace,0.06,0.06
NO,Model Y,36,1001050701,Tow Hitch Cover,Remove and Install,0.05,0.05
NO,Model Y,36,1001050702,Tow Hitch Cover,Remove and Replace,0.05,0.05
