Model,Model_ID,Code,Description,Work_Type,Labor_Hours,FRT
Model 3,35,00000010,Remote – Education,Over The Air,0.0,0.0
Model 3,35,00000800,TEST CODE MODEL 3 2024+ ONLY,Test/Adjust,0.0,0.0
Model 3,35,00002600,Perform Visual Underbody Damage Inspection (APAC),Inspection,0.15,0.15
Model 3,35,00002700,Underbody Damage Inspection (By Machine),Inspection,0.0,0.0
Model 3,35,00003294,New Zealand-Inspect and Provide Certification of Loading (COL) ,Fee,0.25,0.25
Model 3,35,00003815,CEV subsidy support (Japan),Sublet,0.0,0.0
Model 3,35,00004107,Alert Diagnosis - Repair,General diagnosis conclusion,0.06,0.06
Model 3,35,00004108,Alert Diagnosis (Repair) - Create New Service Activity for Repair,Test/Adjust,0.06,0.06
Model 3,35,00004440, New Zealand - Change of Vehicle Use,Fee,0.17,0.17
Model 3,35,00005220,Re-examination of Vehicle for ACT Roadworthiness Within 1 Calendar Month (AU),Inspection,0.5,0.5
Model 3,35,00005759,Pre-Warranty Expire Inspection (China),Inspection,0.6,0.6
Model 3,35,00005760,Pre-warranty inspection for Japan,Inspection,0.25,0.25
Model 3,35,00005914,Service Collision Estimate,Inspection,0.0,0.0
Model 3,35,00006094,"Pre-Delivery CH Adapter, Front License Plate Bracket",Retrofit,0.0,0.0
Model 3,35,00006744,Engineering Vehicle in Service (Support),Maintenance,0.0,0.0
Model 3,35,00007192,Outside Influence or Vehicle Modified - Additional Work Required,Modify,0.0,0.0
Model 3,35,00007735,Perform Inspection for ACT Roadworthiness for Motor Vehicles Not Exceeding 4.5 Tonnes GVM (AU),Inspection,0.5,0.5
Model 3,35,00008534,New Zealand-Inspect and Provide Certificate of Fitness (COF) ,Fee,0.75,0.75
Model 3,35,00008598,Tesla Body Repair - Menu Pricing,Test/Adjust,1.0,1.0
Model 3,35,00009055,Mobile Visit Fee (Japan),Fee,0.0,0.0
Model 3,35,00009186,Tesla Insurance Rental,Test/Adjust,0.0,0.0
Model 3,35,00020003,Software Update,Over The Air,0.06,0.06
Model 3,35,00020007,Firmware Update - Garage,Update,0.05,0.05
Model 3,35,00020008,Software Reinstall - Toolbox,Restore,0.06,0.06
Model 3,35,00020010,Remote – Known Characteristic of Current Firmware,Over The Air,0.25,0.25
Model 3,35,00020018,Software Reinstall - Touchscreen,Restore,0.05,0.05
Model 3,35,00020020,Remote – Over the Air Update,Over The Air,0.25,0.25
Model 3,35,00020104,Additional Work Required - Firmware Update/Reinstall Troubleshooting,General Diagnosis,0.0,0.0
Model 3,35,00022008,User Data (Factory Reset),Restore,0.05,0.05
Model 3,35,00023003,Clear Filesystem Caches,Module Reset/Reflashed,0.05,0.05
Model 3,35,00027003,Salvage Vehicles Quote (China),Fee,3.0,3.0
Model 3,35,00030007,Enabled Model 3 AWD Acceleration Boost,Modify,0.0,0.0
Model 3,35,00030100,PDI (Without Test Drive),Inspection,0.0,0.0
Model 3,35,00030101,Vehicle Receiving Inspection,Inspection,0.12,0.12
Model 3,35,00030300,Perform North Carolina State Inspection,Inspection,0.2,0.2
Model 3,35,00030400,Courtesy Inspection,Inspection,0.0,0.0
Model 3,35,00030410,Vehicle Health Check,Inspection,1.62,1.62
Model 3,35,00030420,Four Wheel Check (on Lift),Test/Adjust,0.3,0.3
Model 3,35,00030700,Perform General Inspection,Inspection,0.78,0.78
Model 3,35,00030701,Perform General Inspection (No Issue Found),Inspection,0.5,0.5
Model 3,35,00030702,Perform Accident Vehicle Inspection (China),Fee,0.0,0.0
Model 3,35,00030800,Perform Belgium Safety Inspection,Test/Adjust,1.0,1.0
Model 3,35,00030853,PDI Inspection Without Test Drive (Macau),Inspection,1.0,1.0
Model 3,35,00030900,Perform Hawaii State Inspection,Inspection,0.75,0.75
Model 3,35,00031000,Perform New York State Inspection,Inspection,0.4,0.4
Model 3,35,00031100,Perform Missouri State Inspection,Inspection,0.25,0.25
Model 3,35,00031300,Vehicle Transfer Inspection,Inspection,0.1,0.1
Model 3,35,00031400,Out Of Province Inspection - Alberta (Inspection),Inspection,1.2,1.2
Model 3,35,00031500,Perform Nova Scotia Provincial Motor Vehicle Inspection,Inspection,0.5,0.5
Model 3,35,00031510,Perform Nova Scotia Provincial Motor Vehicle Inspection (Replacement Sticker),Inspection,0.1,0.1
Model 3,35,00031520,Perform Ontario Provincial Motor Vehicle Inspection,Inspection,1.0,1.0
Model 3,35,00031600,Perform Periodisk Kontroll av Kjøretøy (PKK) – Norway,Test/Adjust,1.0,1.0
Model 3,35,00031700,Perform Etterkontroll Periodisk Kontroll av Kjøretøy (PKK) – Norway,Test/Adjust,0.4,0.4
Model 3,35,00031800,Perform Netherlands MOT Inspection (Tesla),Inspection,0.5,0.5
Model 3,35,00032000,Used Vehicle Inspection,Inspection,1.08,1.08
Model 3,35,00032100,Used Vehicle Final Quality Check,Inspection,0.3,0.3
Model 3,35,00032200,Pre-Loaner Vehicle Inspection,Inspection,1.0,1.0
Model 3,35,00032201,Loaner Registration Confirmation,Inspection,0.2,0.2
Model 3,35,00032300,Pre - delivery Inspection for Retired Marketing Vehicle (China),Inspection,0.4,0.4
Model 3,35,00032400,Used Vehicle Inspection,Inspection,0.0,0.0
Model 3,35,00032500,Shaken Inspection (Japan),Inspection,1.0,1.0
Model 3,35,00032600,SUBLET - Perform Germany MOT Inspection,Sublet,0.0,0.0
Model 3,35,00032900,German UVV (Unfallverhütungsvorschfrift) Accident Prevention Regulations,Inspection,0.7,0.7
Model 3,35,00033200,VIC Roadworthy Safety Inspection (RWC),Inspection,1.5,1.5
Model 3,35,00033300,New Hampshire State Inspection,Inspection,0.6,0.6
Model 3,35,00033400,Perform PRI Pre-Inspection,Test/Adjust,0.6,0.6
Model 3,35,00033500,Remote System Check(Japan Shaken Inspection),Inspection,0.15,0.15
Model 3,35,00034000,Perform Total Loss Vehicle (Soaking in Water) Inspection (China),Test/Adjust,32.0,32.0
Model 3,35,00034200,Test Drive Vehicles Inspection (China),Inspection,0.35,0.35
Model 3,35,00034201,Perform Body Shop Final Inspection(China),Inspection,0.35,0.35
Model 3,35,00034300,TC support TAB Vehicle Configuration Change,Test/Adjust,0.2,0.2
Model 3,35,00035000,Shaken Pre-inspection (Japan Only),Maintenance,0.5,0.5
Model 3,35,00035100,Annual Service Inspection – Shaken Pre Inspected (Japan),Inspection,2.5,2.5
Model 3,35,00035200,Used Vehicle Inspection (Japan),Inspection,2.5,2.5
Model 3,35,00037000,Perform Final Inspection China,Inspection,0.0,0.0
Model 3,35,00038000,Global Press Vehicle inspection,Inspection,6.1,6.1
Model 3,35,00038100,Extended Warranty Admin Work (China),Fee,0.3,0.3
Model 3,35,00039000,Used Vehicle Intake Inspection (UVIS Only),Inspection,0.0,0.0
Model 3,35,00039100,Extend Warranty Agreement Inspection (China),Inspection,0.65,0.65
Model 3,35,00039200,Vehicle Inspection at the Customer's Request (Korea),Inspection,0.6,0.6
Model 3,35,00039201,Detailed Vehicle Inspection at the Customer's Request （Korea)）,Inspection,1.0,1.0
Model 3,35,00039400,Repossessions and Recoveries Inspection,Inspection,0.5,0.5
Model 3,35,00040100,Perform Post-Repair Validation Test Drive,Test/Adjust,0.3,0.3
Model 3,35,00040900,Virginia Safety Inspection,Inspection,0.5,0.5
Model 3,35,00041000,Annual Service Inspection (Japan Only),Inspection,1.0,1.0
Model 3,35,00041100,NSW e-Safety Inspection (Pink Slip),Inspection,0.3,0.3
Model 3,35,00041110,NSW e-Safety Inspection (Blue Slip),Inspection,0.7,0.7
