Universal,Model,Model_ID,Code,Description,Work_Type,Labor_Hours,FRT
YES,Model 3,35,00000010,Remote – Education,Over The Air,0.0,0.0
YES,Model 3,35,00004107,Alert Diagnosis - Repair,General diagnosis conclusion,0.06,0.06
YES,Model 3,35,00004108,Alert Diagnosis (Repair) - Create New Service Activity for Repair,Test/Adjust,0.06,0.06
YES,Model 3,35,00005914,Service Collision Estimate,Inspection,0.0,0.0
YES,Model 3,35,00020003,Software Update,Over The Air,0.06,0.06
YES,Model 3,35,00020007,Firmware Update - Garage,Update,0.05,0.05
YES,Model 3,35,00020010,Remote – Known Characteristic of Current Firmware,Over The Air,0.25,0.25
YES,Model 3,35,00020020,Remote – Over the Air Update,Over The Air,0.25,0.25
YES,Model 3,35,00022008,User Data (Factory Reset),Restore,0.05,0.05
YES,Model 3,35,00023003,Clear Filesystem Caches,Module Reset/Reflashed,0.05,0.05
YES,Model 3,35,00030100,PDI (Without Test Drive),Inspection,0.0,0.0
YES,Model 3,35,00030410,Vehicle Health Check,Inspection,1.62,1.62
NO,Model 3,35,00030420,Four Wheel Check (on Lift),Test/Adjust,0.3,0.3
NO,Model 3,35,00031600,Perform Periodisk Kontroll av Kjøretøy (PKK) – Norway,Test/Adjust,1.0,1.0
NO,Model 3,35,00031700,Perform Etterkontroll Periodisk Kontroll av Kjøretøy (PKK) – Norway,Test/Adjust,0.4,0.4
YES,Model 3,35,00032201,Loaner Registration Confirmation,Inspection,0.2,0.2
NO,Model 3,35,00034300,TC support TAB Vehicle Configuration Change,Test/Adjust,0.2,0.2
YES,Model 3,35,00040100,Perform Post-Repair Validation Test Drive,Test/Adjust,0.3,0.3
NO,Model 3,35,00050300,OBD Connector (Retrofit),Retrofit,0.24,0.24
YES,Model 3,35,00100004,General Diagnosis,General Diagnosis,0.5,0.5
YES,Model 3,35,00100014,Diagnosis: Unable to Replicate Concern,General diagnosis conclusion,0.0,0.0
YES,Model 3,35,00100024,Remote Diagnosis,Remote Diagnostics,0.3,0.3
YES,Model 3,35,10000004,Adjustment: Body / Closure Components,Test/Adjust,0.4,0.4
YES,Model 3,35,10010008,Tesla Body Repair - Miscellaneous Labor,Body Shop,0.0,0.0
NO,Model 3,35,10010009,Storage Fees,Body Shop,1.0,1.0
YES,Model 3,35,10010011,Tesla Body Repair - Structural,Body Shop,0.0,0.0
YES,Model 3,35,10010012,Tesla Body Structural - Sheet Metal Quotation,Test/Adjust,0.6,0.6
YES,Model 3,35,10010014,Tesla Body Structural - Sheet Metal Repair,Restore,1.0,1.0
YES,Model 3,35,10010015,Tesla Body Structural--Reassemble Parts,Test/Adjust,1.0,1.0
NO,Model 3,35,1001020121,Cover - Hood Latch,Remove and Install,0.06,0.06
NO,Model 3,35,1001020122,Cover - Hood Latch,Remove and Replace,0.06,0.06
NO,Model 3,35,1001030031,Ankle Catcher,Remove and Install,0.6,0.6
NO,Model 3,35,1001030032,Ankle Catcher,Remove and Replace,0.6,0.6
NO,Model 3,35,1001040011,Fascia - Rear - Upper,Remove and Install,0.54,0.54
NO,Model 3,35,1001040012,Fascia - Rear - Upper,Remove and Replace,0.54,0.54
NO,Model 3,35,1001040021,Fascia - Rear - Lower - Base,Remove and Install,0.6,0.6
NO,Model 3,35,1001040022,Fascia - Rear - Lower (Base),Remove and Replace,0.6,0.6
NO,Model 3,35,1001040031,Fascia - Rear - Lower,Remove and Install,0.6,0.6
NO,Model 3,35,1001040032,Fascia - Rear - Lower (Performance),Remove and Replace,0.6,0.6
NO,Model 3,35,1001050011,Bumper Beam - Rear,Remove and Install,0.42,0.42
NO,Model 3,35,1001050012,Bumper Beam - Rear,Remove and Replace,0.42,0.42
NO,Model 3,35,100111134,test ,Repair,0.5,0.5
NO,Model 3,35,10012012,Cover - Tow Hook - Rear (Remove & Replace),Remove and Replace,0.06,0.06
YES,Model 3,35,10100008,Tesla Body Repair - Mechanical Labor,Body Shop,0.0,0.0
NO,Model 3,35,10100100202,B-PILLAR OUTER (LOWER) - LEFT HAND,Remove and Replace,24.45,24.45
NO,Model 3,35,10100100702,SILL OUTER (COMPLETE) - LEFT,Remove and Replace,52.25,52.25
NO,Model 3,35,10100100902,B-PILLAR OUTER (LOWER) - RIGHT,Remove and Replace,24.45,24.45
NO,Model 3,35,10100101202,SILL OUTER (COMPLETE) - RIGHT,Remove and Replace,52.25,52.25
NO,Model 3,35,10100117602,Quarter Outer Assembly (Without Upper Trough)(Rear Sill Section)- Right,Remove and Replace,11.35,11.35
NO,Model 3,35,10100117702,Quarter Outer Assembly (Without Upper Trough)(Rear Sill Section) - Left,Remove and Replace,11.35,11.35
NO,Model 3,35,10100117802,PANEL - QUARTER OUTER EXTENSION PANEL - RIGHT HAND,Remove and Replace,1.98,1.98
NO,Model 3,35,10100121302,Rear Quarter Section,Remove and Replace,10.9,10.9
NO,Model 3,35,10100121402,Rear Quarter Section,Remove and Replace,10.9,10.9
NO,Model 3,35,10100138202,B-Pillar Outer (Upper),Remove and Replace,21.5,21.5
NO,Model 3,35,10100138302,B-Pillar Outer (Upper),Remove and Replace,21.5,21.5
NO,Model 3,35,1010025011,Trunk,Remove and Install,0.48,0.48
NO,Model 3,35,1010025012,Trunk,Remove and Replace,0.84,0.84
NO,Model 3,35,1010025041,Door - Rear - LH,Remove and Install,0.24,0.24
NO,Model 3,35,1010025042,Door - Rear - LH,Remove and Replace,1.08,1.08
NO,Model 3,35,1010025051,Door - Rear - RH,Remove and Install,0.24,0.24
NO,Model 3,35,1010025052,Door - Rear - RH,Remove and Replace,1.08,1.08
NO,Model 3,35,10100251036,Trunk | Complete | Seam Seal,Installation,2.22,2.22
NO,Model 3,35,10100301036,Hood | Complete | Seam Sealer,Installation,0.6,0.6
NO,Model 3,35,10100302,Hood Assembly (Remove & Replace),Remove and Replace,0.42,0.42
NO,Model 3,35,10100400102,ASSEMBLY - CONSOLE MOUNT - REAR,Remove and Replace,0.84,0.84
NO,Model 3,35,10100651036,Rear Door | Complete | Seam Seal,Installation,0.48,0.48
NO,Model 3,35,10101000102,ASSEMBLY - DASH WITH COWL,Remove and Replace,16.0,16.0
NO,Model 3,35,10101000402,ASSEMBLY - REAR SHOCK TOWER SUPPORT - LEFT,Remove and Replace,7.45,7.45
NO,Model 3,35,10101000502,ASSEMBLY - REAR SHOCK TOWER SUPPORT - RIGHT HAND,Remove and Replace,7.45,7.45
NO,Model 3,35,10101011902,PANEL - OUTER TOEBOARD - LEFT,Remove and Replace,5.04,5.04
NO,Model 3,35,10101013002,ASSEMBLY - SHOCK TOWER UPPER - LEFT HAND,Remove and Replace,11.9,11.9
NO,Model 3,35,10101013102,ASSEMBLY - SHOCK TOWER UPPER - RIGHT HAND,Remove and Replace,11.9,11.9
NO,Model 3,35,10101013202,PANEL - QUARTER OUTER EXTENSION PANEL - LEFT HAND,Remove and Replace,1.98,1.98
NO,Model 3,35,10101013302,"WELD NUT,HF,M10,STL[10] TEFLON",Remove and Replace,1.8,1.8
NO,Model 3,35,10101014702,Cowl Lower,Remove and Replace,7.2,7.2
NO,Model 3,35,10101014802,ASSEMBLY - COWL TOP,Remove and Replace,4.14,4.14
NO,Model 3,35,10101016302,Dash Crossmember,Remove and Replace,4.68,4.68
NO,Model 3,35,10101017102,PANEL - OUTER TOEBOARD - RIGHT,Remove and Replace,5.04,5.04
NO,Model 3,35,10101029402,Shotgun Outer,Remove and Replace,5.22,5.22
NO,Model 3,35,10101029502,Shotgun Outer,Remove and Replace,5.22,5.22
NO,Model 3,35,10101800102,ASSEMBLY - CROSSMEMBER HEELBOARD,Remove and Replace,8.15,8.15
NO,Model 3,35,10101800302,ASSEMBLY - REAR PANEL COMPLETE,Remove and Replace,5.16,5.16
NO,Model 3,35,10101800402,"ASY,CROSSMEMBER HEELBOARD,E-COATED",Remove and Replace,5.88,5.88
NO,Model 3,35,10101810202,ASSEMBLY - LAMP CAN - LEFT HAND,Remove and Replace,3.6,3.6
NO,Model 3,35,10101810302,ASSEMBLY - LAMP CAN - RIGHT HAND,Remove and Replace,3.6,3.6
NO,Model 3,35,10101810402,ASSEMBLY - RAIL TO REAR QUARTER LOWER EXTENSION - LEFT HAND,Remove and Replace,1.5,1.5
NO,Model 3,35,10101810502,ASSEMBLY - RAIL TO REAR QUARTER LOWER EXTENSION - RIGHT HAND,Remove and Replace,1.5,1.5
NO,Model 3,35,10101810802,ASSEMBLY - REAR MOTOR COVER,Remove and Replace,2.58,2.58
NO,Model 3,35,10101810902,ASSEMBLY - REAR RAIL LOWER - LEFT,Remove and Replace,18.05,18.05
NO,Model 3,35,10101811002,ASSEMBLY - REAR RAIL LOWER - RIGHT,Remove and Replace,18.05,18.05
NO,Model 3,35,10101813602,ASSEMBLY - REAR RAIL GLOVE - LOWER,Remove and Replace,15.4,15.4
NO,Model 3,35,10101813702,ASSEMBLY - REAR RAIL UPPER - LEFT HAND,Remove and Replace,23.5,23.5
NO,Model 3,35,10101813802,ASSEMBLY - REAR RAIL UPPER - RIGHT HAND,Remove and Replace,23.5,23.5
NO,Model 3,35,10101814702,"ASSEMBLY, TRUNK FLOOR",Remove and Replace,3.48,3.48
