Code,Description,Work_Type,Labor_Hours,FRT
00000010,Remote – Education,Over The Air,0.0,0.0
00004107,Alert Diagnosis - Repair,General diagnosis conclusion,0.06,0.06
00004108,Alert Diagnosis (Repair) - Create New Service Activity for Repair,Test/Adjust,0.06,0.06
00005914,Service Collision Estimate,Inspection,0.0,0.0
00006744,Engineering Vehicle in Service (Support),Maintenance,0.0,0.0
00007192,Outside Influence or Vehicle Modified - Additional Work Required,Modify,0.0,0.0
00008598,Tesla Body Repair - Menu Pricing,Test/Adjust,1.0,1.0
00009186,Tesla Insurance Rental,Test/Adjust,0.0,0.0
00020003,Software Update,Over The Air,0.06,0.06
00020007,Firmware Update - Garage,Update,0.05,0.05
00020008,Software Reinstall - Toolbox,Restore,0.06,0.06
00020010,Remote – Known Characteristic of Current Firmware,Over The Air,0.25,0.25
00020018,Software Reinstall - Touchscreen,Restore,0.05,0.05
00020020,Remote – Over the Air Update,Over The Air,0.25,0.25
00020104,Additional Work Required - Firmware Update/Reinstall Troubleshooting,General Diagnosis,0.0,0.0
00022008,User Data (Factory Reset),Restore,0.05,0.05
00023003,Clear Filesystem Caches,Module Reset/Reflashed,0.05,0.05
00030100,PDI (Without Test Drive),Inspection,0.0,0.0
00030101,Vehicle Receiving Inspection,Inspection,0.12,0.12
00030300,Perform North Carolina State Inspection,Inspection,0.2,0.2
00030400,Courtesy Inspection,Inspection,0.0,0.0
00030410,Vehicle Health Check,Inspection,1.62,1.62
00030700,Perform General Inspection,Inspection,0.78,0.78
00030701,Perform General Inspection (No Issue Found),Inspection,0.5,0.5
00030900,Perform Hawaii State Inspection,Inspection,0.75,0.75
00031000,Perform New York State Inspection,Inspection,0.4,0.4
00031100,Perform Missouri State Inspection,Inspection,0.25,0.25
00031300,Vehicle Transfer Inspection,Inspection,0.1,0.1
00031400,Out Of Province Inspection - Alberta (Inspection),Inspection,1.2,1.2
00031500,Perform Nova Scotia Provincial Motor Vehicle Inspection,Inspection,0.5,0.5
00031510,Perform Nova Scotia Provincial Motor Vehicle Inspection (Replacement Sticker),Inspection,0.1,0.1
00031520,Perform Ontario Provincial Motor Vehicle Inspection,Inspection,1.0,1.0
00032000,Used Vehicle Inspection,Inspection,1.08,1.08
00032100,Used Vehicle Final Quality Check,Inspection,0.3,0.3
00032200,Pre-Loaner Vehicle Inspection,Inspection,1.0,1.0
00032201,Loaner Registration Confirmation,Inspection,0.2,0.2
00033200,VIC Roadworthy Safety Inspection (RWC),Inspection,1.5,1.5
00033300,New Hampshire State Inspection,Inspection,0.6,0.6
00038000,Global Press Vehicle inspection,Inspection,6.1,6.1
00039000,Used Vehicle Intake Inspection (UVIS Only),Inspection,0.0,0.0
00039400,Repossessions and Recoveries Inspection,Inspection,0.5,0.5
00040100,Perform Post-Repair Validation Test Drive,Test/Adjust,0.3,0.3
00040900,Virginia Safety Inspection,Inspection,0.5,0.5
00050104,Additional Work Required - ODIN Routine Troubleshooting,General Diagnosis,0.1,0.1
00100004,General Diagnosis,General Diagnosis,0.5,0.5
00100014,Diagnosis: Unable to Replicate Concern,General diagnosis conclusion,0.0,0.0
00100024,Remote Diagnosis,Remote Diagnostics,0.3,0.3
00100025,Remote Diagnosis: Customer Declined ,Remote Diagnostics,0.0,0.0
00901320,Install Ceramic Coating,Retrofit,1.5,1.5
10000004,Adjustment: Body / Closure Components,Test/Adjust,0.4,0.4
10000105,Jack Mode Activation,Test/Adjust,0.06,0.06
100002091,Auto Diagnostics,Remote Diagnostics,0.0,0.0
10010007,Tesla Body Repair - Paint Supplies,Body Shop,0.0,0.0
10010008,Tesla Body Repair - Miscellaneous Labor,Body Shop,0.0,0.0
10010010,Tesla Body Repair - Frame Labor,Body Shop,0.0,0.0
10010011,Tesla Body Repair - Structural,Body Shop,0.0,0.0
10010012,Tesla Body Structural - Sheet Metal Quotation,Test/Adjust,0.6,0.6
10010014,Tesla Body Structural - Sheet Metal Repair,Restore,1.0,1.0
10010015,Tesla Body Structural--Reassemble Parts,Test/Adjust,1.0,1.0
10010016,Tesla Body Repair - Aluminum Labor,Body Shop,0.0,0.0
10100008,Tesla Body Repair - Mechanical Labor,Body Shop,0.0,0.0
10108208,Corrosion Protection (Refinish),Restore,0.3,0.3
10108500,Create Imprint of VIN,Inspection,0.14,0.14
10108608,Tesla Body Repair - Body Labor,Body Shop,0.0,0.0
10108808,Tesla Body Repair - Sublet,Body Shop,0.0,0.0
10109008,Structural Body Repair,Repair,0.0,0.0
10109108,Non-Structural Body Repair,Restore,0.0,0.0
10109608,Tesla Body Repair - Insurance Pay,Body Shop,0.0,0.0
10182019,Customer Generated Quote - Issue (Transaction) Resolved - Bound,General diagnosis conclusion,0.0,0.0
10200108,Glass Chip Repair - Windshield,Restore,0.54,0.54
10200118,Glass Scratch Repair - Windshield,Restore,0.36,0.36
10200348,Clean Forward Camera View (Precision Cleaning of Inboard Glass),Restore,0.3,0.3
1027521,Assistance with Refund of Reservation,Test/Adjust,0.0,0.0
10300020,Touch Up Paint - Apply,Paint Work,0.2,0.2
10300250,Paint Defects - Denib/Polish,Test/Adjust,0.25,0.25
10302008,Clean Up Water Ingress,Restore,0.0,0.0
10303025,Dent Repair - Paintless - 0.25,Paint Work,0.36,0.36
