id,code,name,workType,modelID,modelName,frt,chargedHours,procedureURL
35766,00000010,Remote – Education,Over The Air,36,2025+ Model Y,0.0,0.0,
37663,00002600,Perform Visual Underbody Damage Inspection (APAC),Inspection,36,2025+ Model Y,0.15,0.15,
46937,00002700,Underbody Damage Inspection (By Machine),Inspection,36,2025+ Model Y,0.0,0.0,
47498,00003294,New Zealand-Inspect and Provide Certification of Loading (COL) ,Fee,36,2025+ Model Y,0.25,0.25,
40381,00003815,Cev Subsidy Support (Japan),Sublet,36,2025+ Model Y,0.0,0.0,
38208,00004107,Alert Diagnosis - Repair,General diagnosis conclusion,36,2025+ Model Y,0.06,0.06,
42421,00004108,Alert Diagnosis (Repair) - Create New Service Activity for Repair,Test/Adjust,36,2025+ Model Y,0.06,0.06,
47500,00004440, New Zealand - Change of Vehicle Use,Fee,36,2025+ Model Y,0.17,0.17,
37645,00005220,Re-examination of Vehicle for ACT Roadworthiness Within 1 Calendar Month (AU),Inspection,36,2025+ Model Y,0.5,0.5,
47187,00005759,Pre-Warranty Expire Inspection (China),Inspection,36,2025+ Model Y,0.6,0.6,
42485,00005760,Pre-warranty inspection for Japan,Inspection,36,2025+ Model Y,0.25,0.25,
35927,00005914,Service Collision Estimate,Inspection,36,2025+ Model Y,0.0,0.0,
39216,00006744,Engineering Vehicle In Service (Support),Maintenance,36,2025+ Model Y,0.0,0.0,
43648,00007192,Outside Influence or Vehicle Modified - Additional Work Required,Modify,36,2025+ Model Y,0.0,0.0,
37983,00007339,Bracket - Front License Plate - EMEA,Installation,36,2025+ Model Y,0.1,0.1,
40378,00007735,Perform Inspection For Act Roadworthiness For Motor Vehicles Not Exceeding 4.5 Tonnes Gvm (Au),Inspection,36,2025+ Model Y,0.5,0.5,
47499,00008534,New Zealand-Inspect and Provide Certificate of Fitness (COF) ,Fee,36,2025+ Model Y,0.75,0.75,
35864,00008598,Tesla Body Repair - Menu Pricing,Test/Adjust,36,2025+ Model Y,0.0,0.0,
37301,00009055,Mobile Visit Fee (Japan),Fee,36,2025+ Model Y,0.0,0.0,
35813,00020003,Software Update,Over The Air,36,2025+ Model Y,0.06,0.06,
35629,00020007,Firmware Update - Garage,Update,36,2025+ Model Y,0.05,0.05,
35814,00020008,Software Reinstall - Toolbox,Restore,36,2025+ Model Y,0.0,0.0,
39129,00020010,Remote – Known Characteristic Of Current Firmware,Over The Air,36,2025+ Model Y,0.25,0.25,
35818,00020018,Software Reinstall - Touchscreen,Restore,36,2025+ Model Y,0.05,0.05,
39128,00020020,Remote – Over The Air Update,Over The Air,36,2025+ Model Y,0.0,0.0,
37195,00020104,Additional Work Required - Firmware Update/Reinstall Troubleshooting,General Diagnosis,36,2025+ Model Y,0.0,0.0,
35861,00022008,User Data (Factory Reset),Restore,36,2025+ Model Y,0.05,0.05,
35866,00023003,Clear Filesystem Caches,Module Reset/Reflashed,36,2025+ Model Y,0.05,0.05,
